sample	bigwig	NAPY
A549	../idat2bw/methylation_bigwigs/A549.850k_probes.bw	NSCLC
COLO-668	../idat2bw/methylation_bigwigs/COLO-668.850k_probes.bw	ASCL1
COR-L279	../idat2bw/methylation_bigwigs/COR-L279.850k_probes.bw	NEUROD1
COR-L32	../idat2bw/methylation_bigwigs/COR-L32.850k_probes.bw	ASCL1
COR-L47	../idat2bw/methylation_bigwigs/COR-L47.850k_probes.bw	ASCL1
DMS-114	../idat2bw/methylation_bigwigs/DMS-114.850k_probes.bw	YAP1
DMS 187	../idat2bw/methylation_bigwigs/DMS-187.850k_probes.bw	NSCLC
DMS-273	../idat2bw/methylation_bigwigs/DMS-273.850k_probes.bw	NEUROD1
DMS-53	../idat2bw/methylation_bigwigs/DMS-53.850k_probes.bw	NEUROD1
DMS-79	../idat2bw/methylation_bigwigs/DMS-79.850k_probes.bw	ASCL1
LXFS-605L	../idat2bw/methylation_bigwigs/LXFS-605L.850k_probes.bw	ASCL1
LXFS-650L	../idat2bw/methylation_bigwigs/LXFS-650L.850k_probes.bw	NEUROD1
NCI-H1048	../idat2bw/methylation_bigwigs/NCI-H1048.850k_probes.bw	POU2F3
NCI-H1092	../idat2bw/methylation_bigwigs/NCI-H1092.850k_probes.bw	ASCL1
NCI-H1105	../idat2bw/methylation_bigwigs/NCI-H1105.850k_probes.bw	ASCL1
NCI-H128	../idat2bw/methylation_bigwigs/NCI-H128.850k_probes.bw	ASCL1
NCI-H1341	../idat2bw/methylation_bigwigs/NCI-H1341.850k_probes.bw	YAP1
NCI-H1417	../idat2bw/methylation_bigwigs/NCI-H1417.850k_probes.bw	ASCL1
NCI-H1436	../idat2bw/methylation_bigwigs/NCI-H1436.850k_probes.bw	ASCL1
NCI-H146	../idat2bw/methylation_bigwigs/NCI-H146.850k_probes.bw	ASCL1
NCI-H1522	../idat2bw/methylation_bigwigs/NCI-H1522.850k_probes.bw	ASCL1
NCI-H1618	../idat2bw/methylation_bigwigs/NCI-H1618.850k_probes.bw	ASCL1
NCI-H1650	../idat2bw/methylation_bigwigs/NCI-H1650.850k_probes.bw	NSCLC
NCI-H1672	../idat2bw/methylation_bigwigs/NCI-H1672.850k_probes.bw	ASCL1
NCI-H1688	../idat2bw/methylation_bigwigs/NCI-H1688.850k_probes.bw	ASCL1
NCI-H1694	../idat2bw/methylation_bigwigs/NCI-H1694.850k_probes.bw	NEUROD1
NCI-H1836	../idat2bw/methylation_bigwigs/NCI-H1836.850k_probes.bw	ASCL1
NCI-H187	../idat2bw/methylation_bigwigs/NCI-H187.850k_probes.bw	ASCL1
NCI-H1876	../idat2bw/methylation_bigwigs/NCI-H1876.850k_probes.bw	ASCL1
NCI-H1882	../idat2bw/methylation_bigwigs/NCI-H1882.850k_probes.bw	ASCL1
NCI-H1930	../idat2bw/methylation_bigwigs/NCI-H1930.850k_probes.bw	ASCL1
NCI-H196	../idat2bw/methylation_bigwigs/NCI-H196.850k_probes.bw	YAP1
NCI-H1963	../idat2bw/methylation_bigwigs/NCI-H1963.850k_probes.bw	ASCL1
NCI-H2029	../idat2bw/methylation_bigwigs/NCI-H2029.850k_probes.bw	ASCL1
NCI-H2066	../idat2bw/methylation_bigwigs/NCI-H2066.850k_probes.bw	NEUROD1
NCI-H2081	../idat2bw/methylation_bigwigs/NCI-H2081.850k_probes.bw	ASCL1
NCI-H209	../idat2bw/methylation_bigwigs/NCI-H209.850k_probes.bw	ASCL1
NCI-H2107	../idat2bw/methylation_bigwigs/NCI-H2107.850k_probes.bw	ASCL1
NCI-H211	../idat2bw/methylation_bigwigs/NCI-H211.850k_probes.bw	POU2F3
NCI-H2141	../idat2bw/methylation_bigwigs/NCI-H2141.850k_probes.bw	ASCL1
NCI-H2171	../idat2bw/methylation_bigwigs/NCI-H2171.850k_probes.bw	NEUROD1
NCI-H2198	../idat2bw/methylation_bigwigs/NCI-H2198.850k_probes.bw	ASCL1
NCI-H220	../idat2bw/methylation_bigwigs/NCI-H220.850k_probes.bw	NEUROD1
NCI-H2330	../idat2bw/methylation_bigwigs/NCI-H2330.850k_probes.bw	NEUROD1
NCI-H250	../idat2bw/methylation_bigwigs/NCI-H250.850k_probes.bw	ASCL1
NCI-H28	../idat2bw/methylation_bigwigs/NCI-H28.850k_probes.bw	NSCLC
NCI-H345	../idat2bw/methylation_bigwigs/NCI-H345.850k_probes.bw	ASCL1
NCI-H378	../idat2bw/methylation_bigwigs/NCI-H378.850k_probes.bw	NEUROD1
NCI-H446	../idat2bw/methylation_bigwigs/NCI-H446.850k_probes.bw	NEUROD1
NCI-H510	../idat2bw/methylation_bigwigs/NCI-H510.850k_probes.bw	ASCL1
NCI-H524	../idat2bw/methylation_bigwigs/NCI-H524.850k_probes.bw	NEUROD1
NCI-H526	../idat2bw/methylation_bigwigs/NCI-H526.850k_probes.bw	POU2F3
NCI-H660	../idat2bw/methylation_bigwigs/NCI-H660.850k_probes.bw	NSCLC
NCI-H69	../idat2bw/methylation_bigwigs/NCI-H69.850k_probes.bw	ASCL1
NCI-H69/CPR	../idat2bw/methylation_bigwigs/NCI-H69.CPR.850k_probes.bw	NEUROD1
NCI-H69/LX10	../idat2bw/methylation_bigwigs/NCI-H69.LX10.850k_probes.bw	ASCL1
NCI-H69VCR/R	../idat2bw/methylation_bigwigs/NCI-H69VCR.R.850k_probes.bw	NEUROD1
NCI-H711	../idat2bw/methylation_bigwigs/NCI-H711.850k_probes.bw	ASCL1
NCI-H719	../idat2bw/methylation_bigwigs/NCI-H719.850k_probes.bw	ASCL1
NCI-H720	../idat2bw/methylation_bigwigs/NCI-H720.850k_probes.bw	ASCL1
NCI-H735	../idat2bw/methylation_bigwigs/NCI-H735.850k_probes.bw	ASCL1
NCI-H748	../idat2bw/methylation_bigwigs/NCI-H748.850k_probes.bw	ASCL1
NCI-H774	../idat2bw/methylation_bigwigs/NCI-H774.850k_probes.bw	ASCL1
NCI-H82	../idat2bw/methylation_bigwigs/NCI-H82.850k_probes.bw	NEUROD1
NCI-H841	../idat2bw/methylation_bigwigs/NCI-H841.850k_probes.bw	YAP1
NCI-H847	../idat2bw/methylation_bigwigs/NCI-H847.850k_probes.bw	NEUROD1
NCI-H865	../idat2bw/methylation_bigwigs/NCI-H865.850k_probes.bw	ASCL1
NCI-H889	../idat2bw/methylation_bigwigs/NCI-H889.850k_probes.bw	ASCL1
SHP-77	../idat2bw/methylation_bigwigs/SHP-77.850k_probes.bw	ASCL1
SW1271	../idat2bw/methylation_bigwigs/SW1271.850k_probes.bw	YAP1
